Technology	Scenario	Variable	Index	Value	Units	Notes
HEFA Castor	Leap Forward	Output efficiency	Gasoline	1	unitless	
HEFA Castor	Leap Forward	Output efficiency	Jet	1	unitless	
HEFA Castor	Leap Forward	Output efficiency	Propane	1	unitless	
HEFA Castor	Leap Forward	Output price	DDGS	0.22	USD/kg	
HEFA Castor	Leap Forward	Output price	Diesel	3.25	USD/gal	
HEFA Castor	Leap Forward	Output price	Electricity	0.057	USD/kWh	
HEFA Castor	Leap Forward	Output price	Gasoline	2	USD/gal	
HEFA Castor	Leap Forward	Output price	Jet	1	USD/gal	
HEFA Castor	Leap Forward	Output price	Propane	0.6	USD/gal	
HEFA Castor	Leap Forward	Scale	Capital	1	unitless	
HEFA Jatropha	Leap Forward	Input	Feedstock	258858	dry ton oil/year	
HEFA Jatropha	Leap Forward	Input	Raw Material	25779.6	kg/year	SoT minus random percent up to 15%
HEFA Jatropha	Leap Forward	Input efficiency	Feedstock	1	unitless	
HEFA Jatropha	Leap Forward	Input efficiency	Raw Material	1	unitless	
HEFA Jatropha	Leap Forward	Input price	Feedstock	362.88	USD/dry ton oil	
HEFA Jatropha	Leap Forward	Input price	Raw Material	1000	USD/kg	
HEFA Jatropha	Leap Forward	Lifetime	Capital	30	year	
HEFA Jatropha	Leap Forward	Output efficiency	DDGS	1	unitless	
HEFA Jatropha	Leap Forward	Output efficiency	Diesel	1	unitless	
HEFA Jatropha	Leap Forward	Output efficiency	Electricity	1	unitless	
HEFA Jatropha	Leap Forward	Output efficiency	Gasoline	1	unitless	
HEFA Jatropha	Leap Forward	Output efficiency	Jet	1	unitless	
HEFA Jatropha	Leap Forward	Output efficiency	Propane	1	unitless	
HEFA Jatropha	Leap Forward	Output price	DDGS	0.22	USD/kg	
HEFA Jatropha	Leap Forward	Output price	Diesel	3.25	USD/gal	
HEFA Jatropha	Leap Forward	Output price	Electricity	0.057	USD/kWh	
HEFA Jatropha	Leap Forward	Output price	Gasoline	2	USD/gal	
HEFA Jatropha	Leap Forward	Output price	Jet	1	USD/gal	
HEFA Jatropha	Leap Forward	Output price	Propane	0.6	USD/gal	
HEFA Jatropha	Leap Forward	Scale	Capital	1	unitless	
HEFA Pennycress	Leap Forward	Input	Feedstock	258858	dry ton oil/year	
HEFA Pennycress	Leap Forward	Input	Raw Material	29052.27	kg/year	SoT minus random percent up to 15%
HEFA Pennycress	Leap Forward	Input efficiency	Feedstock	1	unitless	
HEFA Pennycress	Leap Forward	Input efficiency	Raw Material	1	unitless	
HEFA Pennycress	Leap Forward	Input price	Feedstock	734.83	USD/dry ton oil	
HEFA Pennycress	Leap Forward	Input price	Raw Material	1000	USD/kg	
HEFA Pennycress	Leap Forward	Lifetime	Capital	30	year	
HEFA Pennycress	Leap Forward	Output efficiency	DDGS	1	unitless	
HEFA Pennycress	Leap Forward	Output efficiency	Diesel	1	unitless	
HEFA Pennycress	Leap Forward	Output efficiency	Electricity	1	unitless	
HEFA Pennycress	Leap Forward	Output efficiency	Gasoline	1	unitless	
HEFA Pennycress	Leap Forward	Output efficiency	Jet	1	unitless	
HEFA Pennycress	Leap Forward	Output efficiency	Propane	1	unitless	
HEFA Pennycress	Leap Forward	Output price	DDGS	0.22	USD/kg	
HEFA Pennycress	Leap Forward	Output price	Diesel	3.25	USD/gal	
HEFA Pennycress	Leap Forward	Output price	Electricity	0.057	USD/kWh	
HEFA Pennycress	Leap Forward	Output price	Gasoline	2	USD/gal	
HEFA Pennycress	Leap Forward	Output price	Jet	1	USD/gal	
HEFA Pennycress	Leap Forward	Output price	Propane	0.6	USD/gal	
HEFA Pennycress	Leap Forward	Scale	Capital	1	unitless	
HEFA Yellow Grease	Leap Forward	Input	Feedstock	258858	dry ton oil/year	
HEFA Yellow Grease	Leap Forward	Input	Raw Material	26873.28	kg/year	SoT minus random percent up to 15%
HEFA Yellow Grease	Leap Forward	Input efficiency	Feedstock	1	unitless	
HEFA Yellow Grease	Leap Forward	Input efficiency	Raw Material	1	unitless	
HEFA Yellow Grease	Leap Forward	Input price	Feedstock	553.39	USD/dry ton oil	
HEFA Yellow Grease	Leap Forward	Input price	Raw Material	1000	USD/kg	
HEFA Yellow Grease	Leap Forward	Lifetime	Capital	30	year	
HEFA Yellow Grease	Leap Forward	Output efficiency	DDGS	1	unitless	
HEFA Yellow Grease	Leap Forward	Output efficiency	Diesel	1	unitless	
HEFA Yellow Grease	Leap Forward	Output efficiency	Electricity	1	unitless	
HEFA Yellow Grease	Leap Forward	Output efficiency	Gasoline	1	unitless	
HEFA Yellow Grease	Leap Forward	Output efficiency	Jet	1	unitless	
HEFA Yellow Grease	Leap Forward	Output efficiency	Propane	1	unitless	
HEFA Yellow Grease	Leap Forward	Output price	DDGS	0.22	USD/kg	
HEFA Yellow Grease	Leap Forward	Output price	Diesel	3.25	USD/gal	
HEFA Yellow Grease	Leap Forward	Output price	Electricity	0.057	USD/kWh	
HEFA Yellow Grease	Leap Forward	Output price	Gasoline	2	USD/gal	
HEFA Yellow Grease	Leap Forward	Output price	Jet	1	USD/gal	
HEFA Yellow Grease	Leap Forward	Output price	Propane	0.6	USD/gal	
HEFA Yellow Grease	Leap Forward	Scale	Capital	1	unitless	
