Investment,Category,Tranche,Scenario,Sample,Technology,Index,Value,Units
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,34,Residential PV,LCOE,0.002847295014411555,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,34,Residential PV,Labor,-178.29240125776778,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,35,Residential PV,GHG,82597.16746473961,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,35,Residential PV,LCOE,0.002846620654674753,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,35,Residential PV,Labor,-170.2902452460462,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,36,Residential PV,GHG,82592.99375424322,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,36,Residential PV,LCOE,0.0028446044242691343,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,36,Residential PV,Labor,-150.13052663954204,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,37,Residential PV,GHG,82592.40277893934,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,37,Residential PV,LCOE,0.003013828809850544,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,37,Residential PV,Labor,-161.4309627402588,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,38,Residential PV,GHG,82594.21859196454,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,38,Residential PV,LCOE,0.0026102959973685197,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,38,Residential PV,Labor,-137.26245755519335,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,39,Residential PV,GHG,82593.51236619461,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,39,Residential PV,LCOE,0.002649094949497846,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,39,Residential PV,Labor,-138.0607396301175,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,40,Residential PV,GHG,82591.14091362915,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,40,Residential PV,LCOE,0.002529372883461209,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,40,Residential PV,Labor,-137.2688307002386,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,41,Residential PV,GHG,82584.09798976844,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,41,Residential PV,LCOE,0.0024399607859123817,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,41,Residential PV,Labor,-140.52189224891117,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,42,Residential PV,GHG,82599.87127031675,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,42,Residential PV,LCOE,0.002817017773053182,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,42,Residential PV,Labor,-177.79937980187788,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,43,Residential PV,GHG,82594.58666967507,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,43,Residential PV,LCOE,0.002928065730284951,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,43,Residential PV,Labor,-154.3542382771916,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,44,Residential PV,GHG,82589.33692523195,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,44,Residential PV,LCOE,0.0028852223737756005,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,44,Residential PV,Labor,-148.85926756155936,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,45,Residential PV,GHG,82582.15789499972,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,45,Residential PV,LCOE,0.002978538876490619,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,45,Residential PV,Labor,-154.8795355720324,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,46,Residential PV,GHG,82591.389365678,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,46,Residential PV,LCOE,0.002717938383049137,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,46,Residential PV,Labor,-149.80668454293618,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,47,Residential PV,GHG,82589.85008784605,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,47,Residential PV,LCOE,0.00273280906749028,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,47,Residential PV,Labor,-157.76710716852904,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,48,Residential PV,GHG,82590.69104694853,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,48,Residential PV,LCOE,0.0027773313668070926,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,48,Residential PV,Labor,-172.76049237499046,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,49,Residential PV,GHG,82587.09863034819,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,49,Residential PV,LCOE,0.0022404374955456996,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,49,Residential PV,Labor,-109.21380534626132,Δ$/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,50,Residential PV,GHG,82589.91897769364,ΔgCO2e/system
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,50,Residential PV,LCOE,0.0029073808469628204,Δ$/kWh
Low R&D,BoS R&D,BoS Low R&D,BoS Slow Progress,50,Residential PV,Labor,-142.37583735245607,Δ$/system
High R&D,BoS R&D,BoS High R&D,Bos Fast Progress,,,,,
Medium R&D,BoS R&D,BoS Medium R&D,Bos Moderate Progress,,,,,
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,1,Residential PV,GHG,85230.53570972789,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,1,Residential PV,LCOE,0.012191001044784933,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,1,Residential PV,Labor,0.014700435717031723,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,2,Residential PV,GHG,84943.44541941574,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,2,Residential PV,LCOE,0.010923489902728581,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,2,Residential PV,Labor,-0.014843772891708795,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,3,Residential PV,GHG,84964.4040689211,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,3,Residential PV,LCOE,0.0114296440859383,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,3,Residential PV,Labor,-0.031581481177909154,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,4,Residential PV,GHG,84918.88921466925,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,4,Residential PV,LCOE,0.011788609574968037,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,4,Residential PV,Labor,0.04861635383144858,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,5,Residential PV,GHG,84943.77338251441,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,5,Residential PV,LCOE,0.011816666616162541,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,5,Residential PV,Labor,-0.028193529151394614,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,6,Residential PV,GHG,85003.73327330478,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,6,Residential PV,LCOE,0.012565311269403717,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,6,Residential PV,Labor,-0.0439494997251586,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,7,Residential PV,GHG,85083.00909051934,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,7,Residential PV,LCOE,0.012148045450894124,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,7,Residential PV,Labor,0.037471193025339744,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,8,Residential PV,GHG,84889.35453501137,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,8,Residential PV,LCOE,0.01169113605301142,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,8,Residential PV,Labor,0.0545362078778453,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,9,Residential PV,GHG,85063.1722357972,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,9,Residential PV,LCOE,0.01147980638656318,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,9,Residential PV,Labor,0.09651871496475906,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,10,Residential PV,GHG,84867.08157011417,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,10,Residential PV,LCOE,0.01200707977643567,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,10,Residential PV,Labor,0.00042791467262759397,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,11,Residential PV,GHG,84623.14545469212,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,11,Residential PV,LCOE,0.011550136266434932,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,11,Residential PV,Labor,-0.0037458962106029503,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,12,Residential PV,GHG,85161.79413769882,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,12,Residential PV,LCOE,0.011416599465236876,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,12,Residential PV,Labor,-0.0055625582251650485,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,13,Residential PV,GHG,84895.53926512388,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,13,Residential PV,LCOE,0.011612220289224234,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,13,Residential PV,Labor,-0.012575887152934229,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,14,Residential PV,GHG,84864.4438962731,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,14,Residential PV,LCOE,0.012062477939778743,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,14,Residential PV,Labor,0.05773283383450689,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,15,Residential PV,GHG,84868.35184181086,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,15,Residential PV,LCOE,0.011604825300331828,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,15,Residential PV,Labor,-0.06532771890897493,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,16,Residential PV,GHG,85079.22708335677,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,16,Residential PV,LCOE,0.011845931816920438,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,16,Residential PV,Labor,0.01769845762373734,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,17,Residential PV,GHG,84835.85125395966,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,17,Residential PV,LCOE,0.011398389825746438,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,17,Residential PV,Labor,0.08750420323281105,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,18,Residential PV,GHG,84920.48837094325,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,18,Residential PV,LCOE,0.01160583435981083,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,18,Residential PV,Labor,0.07014784699345,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,19,Residential PV,GHG,84841.62358065588,ΔgCO2e/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,19,Residential PV,LCOE,0.011435287936502864,Δ$/kWh
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,19,Residential PV,Labor,-0.005459748679186305,Δ$/system
High R&D,Inverter R&D,Inverter High R&D,Inverter Fast Progress,20,Residential PV,GHG,84885.75927122786,ΔgCO2e/system
