	Factor 1	Factor 2	Index 1	Index 2	Result
9169	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	10	3	18.90499777926556
9170	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	8	0	23.030144642903746
9171	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	9	0	24.95977614321943
9172	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	9	0	16.144582070011538
9173	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	10	0	17.71307066968211
9174	TCS @ MG Si Scrap Rate	Siemens CVD @ Hydrogen Scrap Rate	8	0	13.353824304286535
9175	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	8	5.148202389834268
9176	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	1	0	29.207446213264515
9177	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	2	0	27.56644295181183
9178	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	3	0	26.26294772796534
9179	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	5	0	24.405094782855024
9180	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	6	0	23.75179961756904
9181	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	7	0	23.23286882217351
9182	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	8	0	22.820667439522914
9183	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	9	0	22.49324424289116
9184	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	10	0	22.233162753102874
9185	TCS @ MG Si Usage Factor	TCS @ MG Si Scrap Rate	4	0	25.227544667835822
9186	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	2	7.432302860596303
9187	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	2	2	30.528396583150577
9188	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	3	2	27.643640050925498
9189	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	4	2	24.09400465811368
9190	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	0	16.171889761483797
9191	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	5	3	30.991385176960243
9192	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	6	3	30.797482664495355
9193	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	7	3	30.675225507957148
9194	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	8	3	30.598086457124104
9195	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	9	3	30.549415006454762
9196	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	10	3	30.518705397188434
9197	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	1	2	25.102331163442788
9198	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	2	2	23.461327901990114
9199	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	3	2	22.15783267814362
9200	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	5	2	20.299979733033307
9201	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	6	2	19.646684567747318
9202	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	7	2	19.127753772351788
9203	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	8	2	18.715552389701195
9204	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	9	2	18.388129193069442
9205	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	10	2	18.128047703281158
9206	TCS @ MG Si Price	TCS @ MG Si Scrap Rate	4	0	25.227544667835822
9207	Siemens CVD @ Installation Cost Factor	TCS @ MG Si Scrap Rate	0	8	13.353824304286535
9208	Siemens CVD @ Installation Cost Factor	TCS @ MG Si Scrap Rate	1	8	12.836302755213039
9209	Siemens CVD @ Installation Cost Factor	TCS @ MG Si Scrap Rate	2	8	12.425220776705705
9210	Siemens CVD @ Installation Cost Factor	TCS @ MG Si Scrap Rate	3	8	12.098686754391014
9211	Siemens CVD @ Installation Cost Factor	TCS @ MG Si Scrap Rate	4	8	11.839311560868369
9212	Siemens CVD @ Installation Cost Factor	TCS @ MG Si Scrap Rate	5	8	11.633282521266253
9213	Siemens CVD @ Installation Cost Factor	TCS @ MG Si Scrap Rate	6	8	11.46962783793717
9214	Siemens CVD @ Installation Cost Factor	TCS @ MG Si Scrap Rate	7	8	11.339632302224011
9215	Siemens CVD @ Installation Cost Factor	TCS @ MG Si Scrap Rate	8	8	11.236373177818944
9216	Siemens CVD @ Installation Cost Factor	TCS @ MG Si Scrap Rate	9	8	11.154351539811096
9217	Siemens CVD @ Installation Cost Factor	TCS @ MG Si Scrap Rate	10	8	11.089199436883122
9218	TCS @ MG Si Scrap Rate	Siemens CVD @ Hydrogen Scrap Rate	8	0	13.353824304286535
9219	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	7	5.2514615142393355
9220	TCS @ MG Si Scrap Rate	TCS @ MG Si Usage Factor	6	7	14.009117925984269
9221	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	1	6	8.43134442925511
9222	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	2	6	6.790341167802433
9223	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	3	6	5.486845943955942
9224	Siemens CVD @ Cycle Time	Etch Filaments @ Fraction Virgin Filament	2	0	28.208404644605693
9225	Siemens CVD @ Cycle Time	Etch Filaments @ Fraction Virgin Filament	3	0	27.63145344514686
9226	Siemens CVD @ Cycle Time	Etch Filaments @ Fraction Virgin Filament	4	0	26.69843224383525
9227	Siemens CVD @ Cycle Time	Etch Filaments @ Fraction Virgin Filament	5	0	25.859668073606613
9228	Siemens CVD @ Cycle Time	TCS @ MG Si Scrap Rate	6	2	28.93067221103981
9229	Siemens CVD @ Cycle Time	TCS @ MG Si Scrap Rate	7	2	28.700983801475807
9230	Siemens CVD @ Cycle Time	TCS @ MG Si Scrap Rate	8	2	28.043803239046785
9231	Siemens CVD @ Cycle Time	TCS @ MG Si Scrap Rate	9	2	27.8988796500904
9232	Siemens CVD @ Cycle Time	TCS @ MG Si Scrap Rate	10	2	27.78376275150477
9233	TCS @ MG Si Price	TCS @ MG Si Scrap Rate	0	7	7.265653516301863
9234	TCS @ MG Si Price	TCS @ MG Si Scrap Rate	4	7	15.669909775395832
9235	Siemens CVD @ Final Rod Size	Etch Filaments @ Fraction Virgin Filament	1	3	20.799922869013642
9236	Siemens CVD @ Final Rod Size	Etch Filaments @ Fraction Virgin Filament	2	3	19.100415188547032
9237	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	3	0	24.788956102065683
9238	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	4	0	23.827371044511015
9239	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	5	0	23.52013697450991
9240	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	6	0	23.326234462045022
9241	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	7	0	23.203977305506807
9242	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	8	0	23.12683825467377
9243	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	9	0	23.078166804004425
9244	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	10	0	23.0474571947381
9245	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	2	7.432302860596303
9246	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	1	1	30.705207337323298
9247	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	2	1	28.421994387551305
9248	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	3	1	25.537237855326218
9249	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	4	1	21.987602462514392
9250	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	4	10.12608750937523
9251	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	1	6	8.43134442925511
9252	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	2	6	6.790341167802433
9253	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	3	6	5.486845943955942
9254	TCS @ MG Si Usage Factor	TCS @ MG Si Scrap Rate	4	0	25.227544667835822
9255	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	0	7	7.265653516301858
9256	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	1	7	7.604358762944082
9257	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	2	7	8.134030544881256
9258	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	0	10.497245135935003
9259	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Hydrogen Scrap Rate	7	5	12.57089888455432
9260	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	0	16.171889761483797
9261	Siemens CVD @ Final Rod Size	Etch Filaments @ Fraction Virgin Filament	1	0	27.79241211170617
9262	Siemens CVD @ Final Rod Size	Etch Filaments @ Fraction Virgin Filament	2	0	26.09455606344935
9263	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	0	10	17.71307066968211
9264	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	3	10	11.2286798518034
9265	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	4	10	10.26709479424873
9266	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	5	10	9.959860724247633
9267	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	6	10	9.765958211782744
9268	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	7	10	9.643701055244538
9269	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	8	10	9.56656200441149
9270	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	9	10	9.517890553742149
9271	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	10	10	9.48718094447582
9272	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	2	7.432302860596303
9273	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	1	0	29.451444819894682
9274	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	2	0	27.168231870122675
9275	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	3	0	24.283475337897602
9276	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	4	0	20.73383994508577
9277	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	2	12.464985793351238
9278	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	3	6.855351661137467
9279	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	4	3	28.205088147536106
9280	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	2	12.464985793351238
9281	Etch Filaments @ Fraction Virgin Filament	Ingot Growth @ Poly Si Material Scrap Rate	9	6	17.016202750226306
9282	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	2	7.432302860596303
9283	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	1	0	29.451444819894682
9284	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	2	0	27.168231870122675
9285	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	3	0	24.283475337897602
9286	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	4	0	20.73383994508577
9287	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	2	12.464985793351238
9288	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	3	3	26.063590534009208
9289	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	4	3	27.926408429052053
9290	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	7	3	10.067080274845628
9291	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	10	3	18.90499777926556
9292	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	0	8	13.353824304286535
9293	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	1	8	13.692529550928759
9294	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	2	8	14.222201332865932
9295	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	8	8	5.1106220272458875
9296	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	9	8	7.040253527561567
9297	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	5	5.0835662895972265
9298	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Hydrogen Scrap Rate	7	3	5.0959492317849255
9299	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	9	7.3917870844305655
9300	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	0	7	7.265653516301861
9301	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	1	7	5.443751416252151
9302	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	0	16.171889761483797
9303	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	8	4	12.777438324938213
9304	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	0	16.171889761483797
9305	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	1	0	29.207446213264515
9306	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	2	0	27.56644295181183
9307	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	3	0	26.26294772796534
9308	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	5	0	24.40509478285502
9309	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	6	0	23.75179961756904
9310	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	7	0	23.23286882217351
9311	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	8	0	22.820667439522914
9312	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	9	0	22.49324424289116
9313	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	10	0	22.233162753102874
9314	TCS @ MG Si Price	TCS @ MG Si Scrap Rate	4	0	25.227544667835822
9315	Siemens CVD @ Final Rod Size	Etch Filaments @ Fraction Virgin Filament	1	3	20.799922869013642
9316	Siemens CVD @ Final Rod Size	Etch Filaments @ Fraction Virgin Filament	2	3	19.100415188547032
9317	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	3	0	24.788956102065683
9318	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	4	0	23.827371044511015
9319	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	5	0	23.52013697450991
9320	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	6	0	23.326234462045022
9321	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	7	0	23.203977305506807
9322	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	8	0	23.12683825467377
9323	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	9	0	23.078166804004425
9324	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	10	0	23.0474571947381
9325	Siemens CVD @ Final Rod Size	Etch Filaments @ Fraction Virgin Filament	1	4	17.248928692092164
9326	Siemens CVD @ Final Rod Size	Etch Filaments @ Fraction Virgin Filament	2	4	15.548563676812007
9327	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	5	3	30.991385176960243
9328	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	6	3	30.797482664495355
9329	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	7	3	30.675225507957148
9330	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	8	3	30.598086457124104
9331	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	9	3	30.549415006454762
9332	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	10	3	30.518705397188434
9333	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	0	6	10.497245135934996
9334	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	1	6	11.751007653363619
9335	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	2	6	13.857409848962902
9336	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	3	6	17.968493338385333
9337	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	4	6	28.984585718686226
9338	TCS @ MG Si Scrap Rate	Siemens CVD @ Hydrogen Scrap Rate	8	9	7.040253527561567
9339	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	7	5.2514615142393355
9340	TCS @ MG Si Scrap Rate	TCS @ MG Si Usage Factor	6	5	9.7864347785276
9341	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	0	10	17.71307066968211
9342	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	3	10	11.2286798518034
9343	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	4	10	10.26709479424873
9344	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	5	10	9.959860724247633
9345	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	6	10	9.765958211782744
9346	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	7	10	9.643701055244538
9347	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	8	10	9.56656200441149
9348	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	9	10	9.517890553742149
9349	Siemens CVD @ Final Rod Size	TCS @ MG Si Scrap Rate	10	10	9.48718094447582
9350	Etch Filaments @ Fraction Virgin Filament	Ingot Growth @ Poly Si Material Scrap Rate	9	6	17.016202750226306
9351	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Hydrogen Scrap Rate	7	4	6.958767126827762
9352	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	2	2	30.528396583150577
9353	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	3	2	27.643640050925498
9354	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	4	2	24.09400465811368
9355	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	5	9.30363762439443
9356	TCS @ MG Si Scrap Rate	Siemens CVD @ Hydrogen Scrap Rate	8	0	13.353824304286535
9357	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	0	7.265653516301858
9358	TCS @ MG Si Scrap Rate	TCS @ MG Si Usage Factor	6	10	17.610336557774712
9359	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Hydrogen Scrap Rate	7	5	12.57089888455432
9360	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	4	10.12608750937523
9361	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	1	4	18.66793923840588
9362	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	2	4	17.026935976953197
9363	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	3	4	15.723440753106713
9364	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	5	4	13.865587807996395
9365	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	6	4	13.21229264271041
9366	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	7	4	12.693361847314884
9367	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	8	4	12.281160464664293
9368	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	9	4	11.953737268032533
9369	TCS @ MG Si Price	Etch Filaments @ Fraction Virgin Filament	10	4	11.69365577824425
9370	TCS @ MG Si Price	TCS @ MG Si Scrap Rate	0	10	17.71307066968211
9371	TCS @ MG Si Price	TCS @ MG Si Scrap Rate	4	10	19.82910145792011
9372	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	0	5	16.171889761483797
9373	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	1	5	17.42565227891242
9374	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	2	5	19.532054474511703
9375	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	3	5	23.64313796393413
9376	TCS @ MG Si Scrap Rate	Siemens CVD @ Hydrogen Scrap Rate	8	0	13.353824304286535
9377	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	3	6.010515966406338
9378	TCS @ MG Si Scrap Rate	TCS @ MG Si Usage Factor	6	8	15.493981672616401
9379	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	7	0	17.056951856892418
9380	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	10	0	25.894869361312352
9381	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	8	0	23.030144642903746
9382	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	9	0	24.95977614321943
9383	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	0	10.497245135935003
9384	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Scrap Rate	4	3	28.205088147536106
9385	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	5	9.30363762439443
9386	Siemens CVD @ Final Rod Size	Etch Filaments @ Fraction Virgin Filament	1	0	27.79241211170617
9387	Siemens CVD @ Final Rod Size	Etch Filaments @ Fraction Virgin Filament	2	0	26.09455606344935
9388	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	0	2	27.168231870122675
9389	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	1	2	28.421994387551305
9390	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	2	2	30.528396583150577
9391	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	9	2	12.039467020189822
9392	TCS @ MG Si Scrap Rate	Etch Filaments @ Fraction Virgin Filament	10	2	13.607955619860395
9393	TCS @ MG Si Scrap Rate	Siemens CVD @ Hydrogen Scrap Rate	8	4	16.996757395440987
9394	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	5	5.545111733281576
9395	TCS @ MG Si Scrap Rate	TCS @ MG Si Usage Factor	6	7	14.009117925984269
9396	TCS @ MG Si Scrap Rate	Siemens CVD @ Hydrogen Scrap Rate	8	0	13.353824304286535
9397	TCS @ MG Si Scrap Rate	Siemens CVD @ Installation Cost Factor	7	4	5.751140772883688
9398	TCS @ MG Si Scrap Rate	TCS @ MG Si Usage Factor	6	8	15.493981672616401
9399	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	2	0	27.940236832447724
9400	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	3	0	27.291466709533964
9401	Ingot Growth @ Ingot Length	Etch Filaments @ Fraction Virgin Filament	4	0	26.302054179187678
9402	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	7	0	17.056951856892418
9403	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	10	0	25.894869361312352
9404	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	0	7	7.265653516301858
9405	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	1	7	7.604358762944082
9406	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	2	7	8.134030544881256
9407	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	2	7.432302860596303
9408	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	4	10.12608750937523
9409	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	3	7	5.0959492317849255
9410	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	4	7	6.958767126827762
9411	Siemens CVD @ Hydrogen Scrap Rate	Etch Filaments @ Fraction Virgin Filament	5	7	12.57089888455432
9412	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	0	10	17.71307066968211
9413	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	1	10	18.051775916324328
9414	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	2	10	18.581447698261503
9415	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	8	10	9.46986839264146
9416	Siemens CVD @ Hydrogen Scrap Rate	TCS @ MG Si Scrap Rate	9	10	11.399499892957142
9417	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	1	3	22.21757463121771
9418	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	2	3	20.576571369765038
9419	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	3	3	19.273076145918537
9420	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	5	3	17.415223200808228
9421	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	6	3	16.761928035522242
9422	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	7	3	16.242997240126716
9423	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	8	3	15.83079585747612
9424	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	9	3	15.503372660844365
9425	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	10	3	15.24329117105608
9426	TCS @ MG Si Usage Factor	TCS @ MG Si Scrap Rate	4	2	26.565250334333058
9427	Etch Filaments @ Fraction Virgin Filament	Siemens CVD @ Batch Size	6	4	5.9223304598258535
9428	Etch Filaments @ Fraction Virgin Filament	TCS @ MG Si Usage Factor	5	7	8.13141166371292
9429	TCS @ MG Si Usage Factor	TCS @ MG Si Scrap Rate	4	3	28.201902150216217
9430	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	1	5	14.105989054803915
9431	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	2	5	12.464985793351238
9432	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	3	5	11.161490569504744
9433	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	5	5	9.30363762439443
9434	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	6	5	8.650342459108444
9435	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	7	5	8.13141166371292
9436	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	8	5	7.719210281062323
9437	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	9	5	7.3917870844305655
9438	TCS @ MG Si Usage Factor	Etch Filaments @ Fraction Virgin Filament	10	5	7.131705594642284
9439	TCS @ MG Si Usage Factor	TCS @ MG Si Scrap Rate	4	0	25.227544667835822
